Team,M,W,D,L,GF,GA,GD,Pts
Tottenham,38,33,5,0,69.0,15.0,54.0,104
Manchester City,38,33,4,1,65.0,9.0,56.0,103
Manchester Utd,38,32,3,3,68.0,20.0,48.0,99
Chelsea,38,30,5,3,40.0,6.0,34.0,95
Liverpool,38,26,9,3,59.0,17.0,42.0,87
Arsenal,38,19,9,10,32.0,21.0,11.0,66
Crystal Palace,38,17,10,11,27.0,20.0,7.0,61
Leicester City,38,10,19,9,40.0,36.0,4.0,49
Brentford,38,12,13,13,25.0,28.0,-3.0,49
West Ham,38,13,9,16,35.0,39.0,-4.0,48
Aston Villa,38,10,17,11,29.0,34.0,-5.0,47
Newcastle Utd,38,8,17,13,31.0,36.0,-5.0,41
Wolves,38,8,15,15,16.0,26.0,-10.0,39
Bournemouth,38,6,17,15,29.0,43.0,-14.0,35
Brighton,38,7,12,19,20.0,40.0,-20.0,33
Everton,38,3,18,17,24.0,51.0,-27.0,27
Leeds United,38,2,12,24,17.0,47.0,-30.0,18
Southampton,38,2,12,24,19.0,57.0,-38.0,18
Nott'ham Forest,38,1,5,32,6.0,55.0,-49.0,8
Fulham,38,0,5,33,8.0,59.0,-51.0,5
